hostname,environment,os,platform,vm_id,ip_address,subnet,datacenter,cluster_name,role,app_name,owner,criticality,cpu_cores,memory_gb,storage_gb,is_virtual,is_cloud,tags
server0001,dev,RHEL,vmware,vm-1001,10.0.1.11,10.0.1.0/24,DC2,Cluster2,db,App2,user2,medium,2,4,100,true,false,env:dev;role:db;dc:DC2
server0002,qa,Ubuntu,vmware,vm-1002,10.0.2.12,10.0.2.0/24,DC3,Cluster3,web,App3,user3,high,3,6,150,true,false,env:qa;role:web;dc:DC3
server0003,stage,SLES,vmware,vm-1003,10.0.3.13,10.0.3.0/24,DC1,Cluster4,batch,App4,user4,critical,4,8,200,true,false,env:stage;role:batch;dc:DC1
server0004,prod,Windows,vmware,vm-1004,10.0.4.14,10.0.4.0/24,DC2,Cluster1,file,App5,user5,low,5,10,250,true,false,env:prod;role:file;dc:DC2
server0005,dev,RHEL,vmware,vm-1005,10.0.5.15,10.0.5.0/24,DC3,Cluster2,app,App6,user6,medium,6,12,300,true,false,env:dev;role:app;dc:DC3
server0006,qa,Ubuntu,vmware,vm-1006,10.0.6.16,10.0.6.0/24,DC1,Cluster3,db,App7,user7,high,7,14,350,true,false,env:qa;role:db;dc:DC1
server0007,stage,SLES,vmware,vm-1007,10.0.7.17,10.0.7.0/24,DC2,Cluster4,web,App8,user8,critical,8,16,400,true,false,env:stage;role:web;dc:DC2
server0008,prod,Windows,vmware,vm-1008,10.0.8.18,10.0.8.0/24,DC3,Cluster1,batch,App9,user9,low,1,18,450,true,false,env:prod;role:batch;dc:DC3
server0009,dev,RHEL,vmware,vm-1009,10.0.9.19,10.0.9.0/24,DC1,Cluster2,file,App10,user10,medium,2,20,500,true,false,env:dev;role:file;dc:DC1
server0010,qa,Ubuntu,vmware,vm-1010,10.0.10.10,10.0.10.0/24,DC2,Cluster3,app,App11,user11,high,3,22,550,true,false,env:qa;role:app;dc:DC2
server0011,stage,SLES,vmware,vm-1011,10.0.11.11,10.0.11.0/24,DC3,Cluster4,db,App12,user12,critical,4,24,600,true,false,env:stage;role:db;dc:DC3
server0012,prod,Windows,vmware,vm-1012,10.0.12.12,10.0.12.0/24,DC1,Cluster1,web,App13,user13,low,5,26,650,true,false,env:prod;role:web;dc:DC1
server0013,dev,RHEL,vmware,vm-1013,10.0.13.13,10.0.13.0/24,DC2,Cluster2,batch,App14,user14,medium,6,28,700,true,false,env:dev;role:batch;dc:DC2
server0014,qa,Ubuntu,vmware,vm-1014,10.0.14.14,10.0.14.0/24,DC3,Cluster3,file,App15,user15,high,7,30,750,true,false,env:qa;role:file;dc:DC3
server0015,stage,SLES,vmware,vm-1015,10.0.15.15,10.0.15.0/24,DC1,Cluster4,app,App16,user16,critical,8,32,800,true,false,env:stage;role:app;dc:DC1
server0016,prod,Windows,vmware,vm-1016,10.0.16.16,10.0.16.0/24,DC2,Cluster1,db,App17,user17,low,1,2,850,true,false,env:prod;role:db;dc:DC2
server0017,dev,RHEL,vmware,vm-1017,10.0.17.17,10.0.17.0/24,DC3,Cluster2,web,App18,user18,medium,2,4,900,true,false,env:dev;role:web;dc:DC3
server0018,qa,Ubuntu,vmware,vm-1018,10.0.18.18,10.0.18.0/24,DC1,Cluster3,batch,App19,user19,high,3,6,950,true,false,env:qa;role:batch;dc:DC1
server0019,stage,SLES,vmware,vm-1019,10.0.19.19,10.0.19.0/24,DC2,Cluster4,file,App20,user20,critical,4,8,1000,true,false,env:stage;role:file;dc:DC2
server0020,prod,Windows,vmware,vm-1020,10.0.20.10,10.0.20.0/24,DC3,Cluster1,app,App21,user1,low,5,10,50,true,false,env:prod;role:app;dc:DC3
server0021,dev,RHEL,vmware,vm-1021,10.0.21.11,10.0.21.0/24,DC1,Cluster2,db,App22,user2,medium,6,12,100,true,false,env:dev;role:db;dc:DC1
server0022,qa,Ubuntu,vmware,vm-1022,10.0.22.12,10.0.22.0/24,DC2,Cluster3,web,App23,user3,high,7,14,150,true,false,env:qa;role:web;dc:DC2
server0023,stage,SLES,vmware,vm-1023,10.0.23.13,10.0.23.0/24,DC3,Cluster4,batch,App24,user4,critical,8,16,200,true,false,env:stage;role:batch;dc:DC3
server0024,prod,Windows,vmware,vm-1024,10.0.24.14,10.0.24.0/24,DC1,Cluster1,file,App25,user5,low,1,18,250,true,false,env:prod;role:file;dc:DC1
server0025,dev,RHEL,vmware,vm-1025,10.0.25.15,10.0.25.0/24,DC2,Cluster2,app,App26,user6,medium,2,20,300,true,false,env:dev;role:app;dc:DC2
server0026,qa,Ubuntu,vmware,vm-1026,10.0.26.16,10.0.26.0/24,DC3,Cluster3,db,App27,user7,high,3,22,350,true,false,env:qa;role:db;dc:DC3
server0027,stage,SLES,vmware,vm-1027,10.0.27.17,10.0.27.0/24,DC1,Cluster4,web,App28,user8,critical,4,24,400,true,false,env:stage;role:web;dc:DC1
server0028,prod,Windows,vmware,vm-1028,10.0.28.18,10.0.28.0/24,DC2,Cluster1,batch,App29,user9,low,5,26,450,true,false,env:prod;role:batch;dc:DC2
server0029,dev,RHEL,vmware,vm-1029,10.0.29.19,10.0.29.0/24,DC3,Cluster2,file,App30,user10,medium,6,28,500,true,false,env:dev;role:file;dc:DC3
server0030,qa,Ubuntu,vmware,vm-1030,10.0.30.10,10.0.30.0/24,DC1,Cluster3,app,App31,user11,high,7,30,550,true,false,env:qa;role:app;dc:DC1
server0031,stage,SLES,vmware,vm-1031,10.0.31.11,10.0.31.0/24,DC2,Cluster4,db,App32,user12,critical,8,32,600,true,false,env:stage;role:db;dc:DC2
server0032,prod,Windows,vmware,vm-1032,10.0.32.12,10.0.32.0/24,DC3,Cluster1,web,App33,user13,low,1,2,650,true,false,env:prod;role:web;dc:DC3
server0033,dev,RHEL,vmware,vm-1033,10.0.33.13,10.0.33.0/24,DC1,Cluster2,batch,App34,user14,medium,2,4,700,true,false,env:dev;role:batch;dc:DC1
server0034,qa,Ubuntu,vmware,vm-1034,10.0.34.14,10.0.34.0/24,DC2,Cluster3,file,App35,user15,high,3,6,750,true,false,env:qa;role:file;dc:DC2
server0035,stage,SLES,vmware,vm-1035,10.0.35.15,10.0.35.0/24,DC3,Cluster4,app,App36,user16,critical,4,8,800,true,false,env:stage;role:app;dc:DC3
server0036,prod,Windows,vmware,vm-1036,10.0.36.16,10.0.36.0/24,DC1,Cluster1,db,App37,user17,low,5,10,850,true,false,env:prod;role:db;dc:DC1
server0037,dev,RHEL,vmware,vm-1037,10.0.37.17,10.0.37.0/24,DC2,Cluster2,web,App38,user18,medium,6,12,900,true,false,env:dev;role:web;dc:DC2
server0038,qa,Ubuntu,vmware,vm-1038,10.0.38.18,10.0.38.0/24,DC3,Cluster3,batch,App39,user19,high,7,14,950,true,false,env:qa;role:batch;dc:DC3
server0039,stage,SLES,vmware,vm-1039,10.0.39.19,10.0.39.0/24,DC1,Cluster4,file,App40,user20,critical,8,16,1000,true,false,env:stage;role:file;dc:DC1
server0040,prod,Windows,vmware,vm-1040,10.0.40.10,10.0.40.0/24,DC2,Cluster1,app,App41,user1,low,1,18,50,true,false,env:prod;role:app;dc:DC2
server0041,dev,RHEL,vmware,vm-1041,10.0.41.11,10.0.41.0/24,DC3,Cluster2,db,App42,user2,medium,2,20,100,true,false,env:dev;role:db;dc:DC3
server0042,qa,Ubuntu,vmware,vm-1042,10.0.42.12,10.0.42.0/24,DC1,Cluster3,web,App43,user3,high,3,22,150,true,false,env:qa;role:web;dc:DC1
server0043,stage,SLES,vmware,vm-1043,10.0.43.13,10.0.43.0/24,DC2,Cluster4,batch,App44,user4,critical,4,24,200,true,false,env:stage;role:batch;dc:DC2
server0044,prod,Windows,vmware,vm-1044,10.0.44.14,10.0.44.0/24,DC3,Cluster1,file,App45,user5,low,5,26,250,true,false,env:prod;role:file;dc:DC3
server0045,dev,RHEL,vmware,vm-1045,10.0.45.15,10.0.45.0/24,DC1,Cluster2,app,App46,user6,medium,6,28,300,true,false,env:dev;role:app;dc:DC1
server0046,qa,Ubuntu,vmware,vm-1046,10.0.46.16,10.0.46.0/24,DC2,Cluster3,db,App47,user7,high,7,30,350,true,false,env:qa;role:db;dc:DC2
server0047,stage,SLES,vmware,vm-1047,10.0.47.17,10.0.47.0/24,DC3,Cluster4,web,App48,user8,critical,8,32,400,true,false,env:stage;role:web;dc:DC3
server0048,prod,Windows,vmware,vm-1048,10.0.48.18,10.0.48.0/24,DC1,Cluster1,batch,App49,user9,low,1,2,450,true,false,env:prod;role:batch;dc:DC1
server0049,dev,RHEL,vmware,vm-1049,10.0.49.19,10.0.49.0/24,DC2,Cluster2,file,App50,user10,medium,2,4,500,true,false,env:dev;role:file;dc:DC2
